,Name,LongName,Country,Sector,FullTimeEmployees,EnterpriseValue,EarningsQuarterlyGrowth,ProfitMargins
34,NDAQ,"Nasdaq, Inc.",United States,Financial Services,4670.0,24295421952.0,0.385,0.16222
35,SIVB,SVB Financial Group,United States,Financial Services,3984.0,12312179712.0,-0.266,0.29830998000000003
36,HIG,"The Hartford Financial Services Group, Inc.",United States,Financial Services,19500.0,14361570304.0,0.258,0.08804000000000001
37,MTB,M&T Bank Corporation,United States,Financial Services,17098.0,-2825551104.0,-0.491,0.27647000000000005
38,KEY,KeyCorp,United States,Financial Services,16587.0,26789480448.0,-0.56,0.23111999
39,RF,Regions Financial Corporation,United States,Financial Services,20073.0,16982477824.0,,0.16519
40,CFG,"Citizens Financial Group, Inc.",United States,Financial Services,18312.0,13538520064.0,-0.442,0.21934
41,CINF,Cincinnati Financial Corporation,United States,Financial Services,5148.0,12939472896.0,1.124,0.08613000000000001
42,PFG,"Principal Financial Group, Inc.",United States,Financial Services,17601.0,11918897152.0,0.031,0.07824
43,HBAN,Huntington Bancshares Incorporated,United States,Financial Services,15703.0,13999210496.0,-0.588,0.23634000000000002
44,RJF,"Raymond James Financial, Inc.",United States,Financial Services,14200.0,4598747136.0,-0.336,0.11327000000000001
45,CBOE,"Cboe Global Markets, Inc.",United States,Financial Services,823.0,9738472448.0,0.28700000000000003,0.1512
46,WRB,W. R. Berkley Corporation,United States,Financial Services,7493.0,11223505920.0,-0.671,0.045700002
47,L,Loews Corporation,United States,Financial Services,18605.0,16030030848.0,,-0.09106
48,GL,Globe Life Inc.,United States,Financial Services,3196.0,10284204032.0,-0.07200000000000001,0.15843001
49,RE,"Everest Re Group, Ltd.",Bermuda,Financial Services,1603.0,7074314240.0,-0.427,0.062430000000000006
