Date,399001.SZ,^GSPC,^DJI,^IXIC,^NYA,^XAX,^BUK100P,^RUT,^VIX,^FTSE,^GDAXI,^FCHI,^STOXX50E,^N100,^BFX,IMOEX.ME,^N225,^HSI,000001.SS,399001.SZ,^STI,^AXJO,^AORD,^BSESN,^JKSE,^KLSE,^NZ50,^KS11,^TWII,^GSPTSE,^BVSP,^MXX,^IPSA,^MERV,^TA125.TA,^CASE30,^JN0U.JO,^OMX
2020-04-10,10298.41015625,,,,,,,,,,,,,,,2677.860107421875,19498.5,,2796.631103515625,10298.41015625,,,,,,1357.5,,1860.699951171875,10157.6103515625,,,,,,,,,
2020-04-13,10223.16015625,2761.6298828125,23390.76953125,8192.419921875,10949.5302734375,1729.1800537109375,,1212.0400390625,41.16999816894531,,,,,,,2628.85009765625,19043.400390625,,2783.048095703125,10223.16015625,2567.25,,,30690.01953125,4623.89404296875,1356.030029296875,,1825.760009765625,10099.2197265625,14075.900390625,78836.0,34613.671875,,28880.640625,1318.77001953125,,,
2020-04-14,10475.7099609375,2846.06005859375,23949.759765625,8515.740234375,11172.2001953125,1748.3199462890625,9803.169921875,1237.3299560546875,37.7599983215332,5791.2998046875,10696.5595703125,4523.91015625,2917.739990234375,888.8900146484375,3057.659912109375,2631.830078125,19638.810546875,24435.400390625,2827.282958984375,10475.7099609375,2634.570068359375,5488.10009765625,5542.5,,4706.4912109375,1371.6600341796875,10443.490234375,1857.0799560546875,10332.9404296875,14258.400390625,79918.0,34746.390625,,30781.55078125,,,2679.169921875,1535.8399658203125
2020-04-15,10417.3701171875,2783.360107421875,23504.349609375,8393.1796875,10843.919921875,1706.9000244140625,9469.9599609375,1183.97998046875,40.84000015258789,5597.7001953125,10279.759765625,4353.72021484375,2808.199951171875,857.0399780273438,2920.820068359375,2498.93994140625,19550.08984375,24145.33984375,2811.174072265625,10417.3701171875,2605.56005859375,5466.7001953125,5523.2998046875,30379.810546875,4625.90478515625,1387.7900390625,10431.6396484375,,10447.2099609375,13958.599609375,78831.0,33855.23828125,,32070.669921875,,,2543.64990234375,1480.5999755859375
2020-04-16,10470.7900390625,2799.550048828125,23537.6796875,8532.3603515625,10818.0302734375,1678.3499755859375,9546.2998046875,1178.0899658203125,40.11000061035156,5628.39990234375,10301.5400390625,4350.16015625,2812.35009765625,857.7100219726562,2925.159912109375,2515.050048828125,19290.19921875,24006.44921875,2819.93505859375,10470.7900390625,2612.25,5416.2998046875,5467.60009765625,30602.609375,4480.60693359375,1386.530029296875,10586.01953125,1857.0699462890625,10375.48046875,13899.2998046875,77812.0,33759.75,,30077.720703125,1292.530029296875,,2547.510009765625,1483.7900390625
2020-04-17,10527.990234375,2874.56005859375,24242.490234375,8650.1396484375,11208.2900390625,1739.7900390625,9752.349609375,1229.0999755859375,38.150001525878906,5787.0,10625.7802734375,4499.009765625,2888.300048828125,883.280029296875,3015.409912109375,2534.969970703125,19897.259765625,24380.0,2838.4951171875,10527.990234375,2614.60009765625,5487.5,5544.7001953125,31588.720703125,4634.82080078125,1407.3399658203125,10778.7197265625,1914.530029296875,10597.0400390625,14359.900390625,78990.0,34743.1015625,,29883.26953125,,,2565.5,1534.550048828125
2020-04-20,10621.5,2823.159912109375,23650.439453125,8560.73046875,11003.8798828125,1736.800048828125,9815.75,1213.3499755859375,43.83000183105469,5812.7998046875,10675.900390625,4528.2998046875,2909.5,889.1500244140625,3021.85009765625,2525.969970703125,19669.119140625,24330.01953125,2852.552978515625,10621.5,2597.85009765625,5353.0,5414.7001953125,31648.0,4575.90478515625,1413.1199951171875,10741.6298828125,1898.3599853515625,10586.7099609375,14388.2998046875,78973.0,34477.05859375,,30535.73046875,1346.5400390625,,2568.550048828125,1541.1700439453125
2020-04-21,10506.8603515625,2736.56005859375,23018.880859375,8263.23046875,10706.4404296875,1731.8399658203125,9554.1904296875,1185.0899658203125,45.40999984741211,5641.0,10249.849609375,4357.4599609375,2791.340087890625,858.010009765625,2908.090087890625,2488.02001953125,19280.779296875,23793.55078125,2827.012939453125,10506.8603515625,2551.919921875,5221.2998046875,5278.60009765625,30636.7109375,4501.9189453125,1381.72998046875,10479.6396484375,1879.3800048828125,10288.419921875,13940.099609375,,33892.28125,,30237.080078125,1319.510009765625,,2475.389892578125,1493.449951171875
2020-04-22,10617.1904296875,2799.31005859375,23475.8203125,8495.3798828125,10908.5595703125,1760.969970703125,9760.8603515625,1201.52001953125,41.97999954223633,5770.60009765625,10415.0302734375,4411.7998046875,2834.89990234375,870.7999877929688,2950.3701171875,2573.409912109375,19137.94921875,23893.359375,2843.97998046875,10617.1904296875,2550.0400390625,5221.2001953125,5273.7998046875,31379.55078125,4567.56201171875,1381.8900146484375,10580.2099609375,1896.1500244140625,10307.740234375,14288.2001953125,80687.0,34223.8515625,,30554.880859375,1323.0400390625,,2511.239990234375,1527.6300048828125
2020-04-23,10564.0498046875,2797.800048828125,23515.259765625,8494.75,10916.6796875,1775.9100341796875,9851.2802734375,1214.06005859375,41.380001068115234,5826.60009765625,10513.7900390625,4451.0,2852.4599609375,877.9099731445312,3017.760009765625,2599.409912109375,19429.439453125,23977.3203125,2838.4990234375,10564.0498046875,2542.3701171875,5217.10009765625,5272.7998046875,31863.080078125,4593.55419921875,1381.6400146484375,10466.1201171875,1914.72998046875,10366.509765625,14251.099609375,79673.0,34240.6015625,,30378.939453125,1341.4200439453125,,2584.239990234375,1541.8900146484375
