,Name,LongName,Country,Sector,FullTimeEmployees,EnterpriseValue,EarningsQuarterlyGrowth,ProfitMargins
31,600177.SS,"Youngor Group Co.,Ltd",China,Consumer Cyclical,22022,48413462528,0.447,0.32586
32,600183.SS,"Shengyi Technology Co., Ltd.",China,Technology,10325,59221544960,0.282,0.116330005
33,600188.SS,Yanzhou Coal Mining Company Limited,China,Energy,61243,1.13282E+11,0.007,0.041539997
34,600196.SS,"Shanghai Fosun Pharmaceutical (Group) Co., Ltd.",China,Healthcare,30925,1.73497E+11,0.415,0.12377
35,600208.SS,"Xinhu Zhongbao Co.,Ltd.",China,Real Estate,1406,84163551232,1.4,0.22482
36,600219.SS,"Shandong Nanshan Aluminium Co., Ltd.",China,Basic Materials,18679,25026031616,0.081,0.080520004
37,600221.SS,"Hainan Airlines Holding Co., Ltd.",China,Industrials,,1.09551E+11,,-0.24014999
38,600233.SS,"YTO Express Group Co.,Ltd.",China,Industrials,14641,41497559040,0.406,0.05588
39,600271.SS,Aisino Corporation,China,Technology,20000,24876199936,1.999,0.027
40,600276.SS,"Jiangsu Hengrui Medicine Co., Ltd.",China,Healthcare,24431,4.69683E+11,0.104,0.22699
41,600297.SS,"China Grand Automotive Services Group Co., Ltd.",China,Consumer Cyclical,46195,70235340800,0.268,0.01021
42,600299.SS,Bluestar Adisseo Company,China,Basic Materials,,33963294720,0.785,0.10098
43,600309.SS,"Wanhua Chemical Group Co., Ltd.",China,Basic Materials,15392,2.86504E+11,-0.484,0.10893
44,600332.SS,Guangzhou Baiyunshan Pharmaceutical Holdings Company Limited,China,Healthcare,24753,42760159232,-0.491,0.03875
45,600340.SS,"China Fortune Land Development Co., Ltd.",China,Real Estate,24340,2.56138E+11,-0.424,0.117410004
46,600346.SS,"Hengli Petrochemical Co.,Ltd.",China,Consumer Cyclical,26506,2.3666E+11,-0.04,0.09158
47,600352.SS,"Zhejiang Longsheng Group Co., Ltd.",China,Basic Materials,8032,61360807936,-0.139,0.24653
48,600362.SS,Jiangxi Copper Company Limited,China,Basic Materials,23213,81979973632,0.049,0.00677
49,600369.SS,"Southwest Securities Co., Ltd.",China,Financial Services,2300,40339877888,1.917,0.29165
50,600372.SS,"China Avionics Systems Co.,Ltd.",China,Industrials,13400,35522752512,-0.087,0.07653
51,600383.SS,Gemdale Corporation,China,Real Estate,34227,1.52601E+11,-0.208,0.15573
52,600390.SS,Minmetals Capital Company Limited,China,Financial Services,2446,64291975168,0.485,0.24189
53,600398.SS,"HLA CORP., Ltd.",China,Consumer Cyclical,19752,25533966336,-0.288,0.10504
54,600406.SS,"NARI Technology Co., Ltd.",China,Industrials,8347,90573316096,0.157,0.13430001
55,600436.SS,"Zhangzhou Pientzehuang Pharmaceutical., Ltd",China,Healthcare,2371,1.45774E+11,0.16,0.24573
56,600438.SS,"Tongwei Co., Ltd.",China,Consumer Defensive,23635,1.41204E+11,-0.306,0.054629996
57,600482.SS,"China Shipbuilding Industry Group Power Co., Ltd.",China,Industrials,22519,35166273536,0.193,0.031770002
58,600487.SS,"Hengtong Optic-Electric Co., Ltd.",China,Technology,17963,39195635712,-0.234,0.03378
59,600489.SS,"Zhongjin Gold Corp., Ltd.",China,Basic Materials,24142,60564504576,0.273,0.00534
60,600498.SS,"Fiberhome Telecommunication Technologies Co., Ltd.",China,Technology,15173,31464228864,-0.058,0.02744
61,600516.SS,"Fangda Carbon New Material Technology Co., Ltd.",China,Technology,4882,13997414400,-0.836,0.17237
